id,api_uri,name,party,state,district,total_votes,votes_with_party,party_votes_pct,rank,notes
P000258,https://api.propublica.org/congress/v1/members/P000258.json,Collin C. Peterson,D,MN,7,1325,843,64.4,1,
B000589,https://api.propublica.org/congress/v1/members/B000589.json,John A. Boehner,R,OH,8,580,11,68.75,2,"Announced resignation effective Oct. 31, 2015"
J000255,https://api.propublica.org/congress/v1/members/J000255.json,Walter B. Jones,R,NC,3,1325,892,70.07,3,
A000367,https://api.propublica.org/congress/v1/members/A000367.json,Justin Amash,R,MI,3,1325,995,75.09,4,
C001063,https://api.propublica.org/congress/v1/members/C001063.json,Henry Cuellar,D,TX,28,1325,968,75.8,5,
C001059,https://api.propublica.org/congress/v1/members/C001059.json,Jim Costa,D,CA,16,1317,965,76.04,6,
S001191,https://api.propublica.org/congress/v1/members/S001191.json,Kyrsten Sinema,D,AZ,9,1325,973,76.25,7,
G000564,https://api.propublica.org/congress/v1/members/G000564.json,Chris Gibson,R,NY,19,1325,1007,76.69,8,"Announced retirement on Jan. 6, 2015"
A000373,https://api.propublica.org/congress/v1/members/A000373.json,Brad Ashford,D,NE,2,1325,1019,77.73,9,Lost general election.
D000613,https://api.propublica.org/congress/v1/members/D000613.json,Robert Dold,R,IL,10,1325,1032,79.08,10,Lost general election.
M001184,https://api.propublica.org/congress/v1/members/M001184.json,Thomas Massie,R,KY,4,1325,1049,80.02,11,
C001107,https://api.propublica.org/congress/v1/members/C001107.json,Carlos Curbelo,R,FL,26,1325,1054,81.52,12,
S001180,https://api.propublica.org/congress/v1/members/S001180.json,Kurt Schrader,D,OR,5,1325,1058,82.98,13,
H001051,https://api.propublica.org/congress/v1/members/H001051.json,Richard Hanna,R,NY,22,1325,1003,83.24,14,"Announced retirement on Dec. 20, 2015"
R000435,https://api.propublica.org/congress/v1/members/R000435.json,Ileana Ros-Lehtinen,R,FL,27,1325,1092,83.61,15,
L000554,https://api.propublica.org/congress/v1/members/L000554.json,Frank A. LoBiondo,R,NJ,2,1325,1111,83.85,16,
F000451,https://api.propublica.org/congress/v1/members/F000451.json,Michael G. Fitzpatrick,R,PA,8,1325,1067,83.95,17,"Announced retirement on Nov. 10, 2014"
C001106,https://api.propublica.org/congress/v1/members/C001106.json,Ryan Costello,R,PA,6,1325,1111,84.87,18,
S000051,https://api.propublica.org/congress/v1/members/S000051.json,Mark Sanford,R,SC,1,1325,1095,85.15,19,
K000386,https://api.propublica.org/congress/v1/members/K000386.json,John Katko,R,NY,24,1325,1114,85.3,20,
C000754,https://api.propublica.org/congress/v1/members/C000754.json,Jim Cooper,D,TN,5,1325,1123,86.12,21,
G000575,https://api.propublica.org/congress/v1/members/G000575.json,Gwen Graham,D,FL,2,1325,1142,86.32,22,"Announced retirement on April 21, 2016."
R000578,https://api.propublica.org/congress/v1/members/R000578.json,Dave Reichert,R,WA,8,1325,1106,86.81,23,
L000563,https://api.propublica.org/congress/v1/members/L000563.json,Daniel Lipinski,D,IL,3,1325,1107,87.23,24,
M001181,https://api.propublica.org/congress/v1/members/M001181.json,Pat Meehan,R,PA,7,1325,1151,87.4,25,
G000410,https://api.propublica.org/congress/v1/members/G000410.json,Gene Green,D,TX,29,1325,1111,87.62,26,
J000296,https://api.propublica.org/congress/v1/members/J000296.json,David W. Jolly,R,FL,13,1325,1095,87.74,27,Lost general election.
B000490,https://api.propublica.org/congress/v1/members/B000490.json,Sanford D. Bishop Jr.,D,GA,2,1325,1138,87.74,28,
D000533,https://api.propublica.org/congress/v1/members/D000533.json,John J. Duncan Jr.,R,TN,2,1325,1147,87.76,29,
P000608,https://api.propublica.org/congress/v1/members/P000608.json,Scott Peters,D,CA,52,1325,1149,88.11,30,
S001179,https://api.propublica.org/congress/v1/members/S001179.json,Aaron Schock,R,IL,18,144,112,88.19,31,"Announced resignation effective March 31, 2015"
M001193,https://api.propublica.org/congress/v1/members/M001193.json,Tom MacArthur,R,NJ,3,1325,1152,88.28,32,
M001182,https://api.propublica.org/congress/v1/members/M001182.json,Mick Mulvaney,R,SC,5,1325,1122,88.28,33,
S001196,https://api.propublica.org/congress/v1/members/S001196.json,Elise Stefanik,R,NY,21,1325,1168,88.28,34,
D000604,https://api.propublica.org/congress/v1/members/D000604.json,Charlie Dent,R,PA,15,1325,1170,88.44,35,
K000368,https://api.propublica.org/congress/v1/members/K000368.json,Ann Kirkpatrick,D,AZ,1,1325,1049,88.45,36,Running for Senate
S000522,https://api.propublica.org/congress/v1/members/S000522.json,Christopher H. Smith,R,NJ,4,1325,1158,88.67,37,
V000132,https://api.propublica.org/congress/v1/members/V000132.json,Filemon Vela,D,TX,34,1325,1143,88.67,38,
B001274,https://api.propublica.org/congress/v1/members/B001274.json,Mo Brooks,R,AL,5,1325,1173,89.34,39,
