"congress","chamber","num_results","offset","members__id","members__api_uri","members__name","members__party","members__state","members__district","members__total_votes","members__missed_votes","members__missed_votes_pct","members__rank","members__notes"
"114","House","450","0","B000589","https://api.propublica.org/congress/v1/members/B000589.json","John A. Boehner","R","OH","8","580","564","97.24","1","Announced resignation effective Oct. 31, 2015"
"","","","","R000570","https://api.propublica.org/congress/v1/members/R000570.json","Paul D. Ryan","R","WI","1","1325","745","56.23","2","Speaker votes at his discretion"
"","","","","T000473","https://api.propublica.org/congress/v1/members/T000473.json","Mark Takai","D","HI","1","1181","421","35.65","3","Died on July 20, 2016."
"","","","","S000030","https://api.propublica.org/congress/v1/members/S000030.json","Loretta Sánchez","D","CA","46","1325","388","29.28","4","Running for Senate"
"","","","","F000458","https://api.propublica.org/congress/v1/members/F000458.json","Stephen Fincher","R","TN","8","1325","362","27.32","5","Announced retirement on Feb. 1, 2016"
"","","","","R000515","https://api.propublica.org/congress/v1/members/R000515.json","Bobby L. Rush","D","IL","1","1325","319","24.08","6",""
"","","","","F000043","https://api.propublica.org/congress/v1/members/F000043.json","Chaka Fattah","D","PA","2","1045","251","24.02","7","Resigned effective June 23, 2016."
"","","","","H000636","https://api.propublica.org/congress/v1/members/H000636.json","Rubén Hinojosa","D","TX","15","1325","302","22.79","8","Announced retirement on Nov. 13, 2015"
"","","","","H001056","https://api.propublica.org/congress/v1/members/H001056.json","Jaime Herrera Beutler","R","WA","3","1325","299","22.57","9",""
"","","","","S000510","https://api.propublica.org/congress/v1/members/S000510.json","Adam Smith","D","WA","9","1325","267","20.15","10",""
"","","","","P000604","https://api.propublica.org/congress/v1/members/P000604.json","Donald M. Payne Jr.","D","NJ","10","1325","248","18.72","11",""
"","","","","W000796","https://api.propublica.org/congress/v1/members/W000796.json","Lynn Westmoreland","R","GA","3","1325","232","17.51","12","Announced retirement on Jan. 7, 2016"
"","","","","P000592","https://api.propublica.org/congress/v1/members/P000592.json","Ted Poe","R","TX","2","1325","216","16.30","13",""
"","","","","G000535","https://api.propublica.org/congress/v1/members/G000535.json","Luis V. Gutiérrez","D","IL","4","1325","210","15.85","14",""
"","","","","H000324","https://api.propublica.org/congress/v1/members/H000324.json","Alcee L. Hastings","D","FL","20","1325","205","15.47","15",""
"","","","","B000911","https://api.propublica.org/congress/v1/members/B000911.json","Corrine Brown","D","FL","5","1325","187","14.11","16","Lost primary election on Aug. 30, 2016."
"","","","","N000185","https://api.propublica.org/congress/v1/members/N000185.json","Richard Nugent","R","FL","11","1325","180","13.58","17","Announced retirement on Nov. 2, 2015"
"","","","","M001137","https://api.propublica.org/congress/v1/members/M001137.json","Gregory W. Meeks","D","NY","5","1320","178","13.48","18",""
"","","","","J000032","https://api.propublica.org/congress/v1/members/J000032.json","Sheila Jackson Lee","D","TX","18","1325","164","12.38","19",""
"","","","","D000622","https://api.propublica.org/congress/v1/members/D000622.json","Tammy Duckworth","D","IL","8","1325","162","12.23","20","Elected to Senate."
"","","","","S001179","https://api.propublica.org/congress/v1/members/S001179.json","Aaron Schock","R","IL","18","144","17","11.81","21","Announced resignation effective March 31, 2015"
"","","","","K000368","https://api.propublica.org/congress/v1/members/K000368.json","Ann Kirkpatrick","D","AZ","1","1325","139","10.49","22","Running for Senate"
"","","","","G000551","https://api.propublica.org/congress/v1/members/G000551.json","Raúl M. Grijalva","D","AZ","3","1325","135","10.19","23",""
"","","","","L000551","https://api.propublica.org/congress/v1/members/L000551.json","Barbara Lee","D","CA","13","1325","134","10.11","24",""
"","","","","E000291","https://api.propublica.org/congress/v1/members/E000291.json","Renee Ellmers","R","NC","2","1325","132","9.96","25","Lost primary election."
"","","","","L000582","https://api.propublica.org/congress/v1/members/L000582.json","Ted Lieu","D","CA","33","1325","131","9.89","26",""
"","","","","B001270","https://api.propublica.org/congress/v1/members/B001270.json","Karen Bass","D","CA","37","1325","129","9.74","27",""
"","","","","C001061","https://api.propublica.org/congress/v1/members/C001061.json","Emanuel Cleaver II","D","MO","5","1325","127","9.58","28",""
"","","","","J000174","https://api.propublica.org/congress/v1/members/J000174.json","Sam Johnson","R","TX","3","1325","126","9.51","29",""
"","","","","P000197","https://api.propublica.org/congress/v1/members/P000197.json","Nancy Pelosi","D","CA","12","1325","120","9.06","30",""
"","","","","H001051","https://api.propublica.org/congress/v1/members/H001051.json","Richard Hanna","R","NY","22","1325","120","9.06","31","Announced retirement on Dec. 20, 2015"
"","","","","W000808","https://api.propublica.org/congress/v1/members/W000808.json","Frederica Wilson","D","FL","24","1325","115","8.68","32",""
"","","","","R000582","https://api.propublica.org/congress/v1/members/R000582.json","Phil Roe","R","TN","1","1325","114","8.60","33","Pamela Roe, the wife of Phil Roe, died on March 5, 2015"
"","","","","C001102","https://api.propublica.org/congress/v1/members/C001102.json","Curt Clawson","R","FL","19","1325","114","8.60","34","Announced retirement on May 19, 2016."
"","","","","W000413","https://api.propublica.org/congress/v1/members/W000413.json","Edward Whitfield","R","KY","1","1181","100","8.47","35","Announced resignation effective Sept. 6, 2016."
"","","","","S001175","https://api.propublica.org/congress/v1/members/S001175.json","Jackie Speier","D","CA","14","1325","112","8.45","36",""
"","","","","C001097","https://api.propublica.org/congress/v1/members/C001097.json","Tony Cárdenas","D","CA","29","1325","112","8.45","37",""
"","","","","F000445","https://api.propublica.org/congress/v1/members/F000445.json","J. Randy Forbes","R","VA","4","1325","111","8.38","38","Lost primary election."
"","","","","K000385","https://api.propublica.org/congress/v1/members/K000385.json","Robin Kelly","D","IL","2","1325","111","8.38","39",""
"","","","","W000797","https://api.propublica.org/congress/v1/members/W000797.json","Debbie Wasserman Schultz","D","FL","23","1325","110","8.30","40",""
"","","","","M001160","https://api.propublica.org/congress/v1/members/M001160.json","Gwen Moore","D","WI","4","1325","110","8.30","41",""
"","","","","D000191","https://api.propublica.org/congress/v1/members/D000191.json","Peter A. DeFazio","D","OR","4","1325","107","8.08","42",""
"","","","","N000002","https://api.propublica.org/congress/v1/members/N000002.json","Jerrold Nadler","D","NY","10","1320","102","7.73","43",""
"","","","","W000187","https://api.propublica.org/congress/v1/members/W000187.json","Maxine Waters","D","CA","43","1311","100","7.63","44",""
"","","","","A000370","https://api.propublica.org/congress/v1/members/A000370.json","Alma Adams","D","NC","12","1325","101","7.62","45",""
"","","","","J000126","https://api.propublica.org/congress/v1/members/J000126.json","Eddie Bernice Johnson","D","TX","30","1325","99","7.47","46",""
"","","","","L000287","https://api.propublica.org/congress/v1/members/L000287.json","John Lewis","D","GA","5","1325","98","7.40","47",""
"","","","","H001067","https://api.propublica.org/congress/v1/members/H001067.json","Richard Hudson","R","NC","8","1325","97","7.32","48",""
"","","","","Y000062","https://api.propublica.org/congress/v1/members/Y000062.json","John Yarmuth","D","KY","3","1325","95","7.17","49",""
"","","","","M001150","https://api.propublica.org/congress/v1/members/M001150.json","Candice S. Miller","R","MI","10","1325","95","7.17","50","Announced retirement on March 6, 2015"
"","","","","M001158","https://api.propublica.org/congress/v1/members/M001158.json","Kenny Marchant","R","TX","24","1325","95","7.17","51",""
"","","","","E000179","https://api.propublica.org/congress/v1/members/E000179.json","Eliot L. Engel","D","NY","16","1320","94","7.12","52",""
"","","","","G000546","https://api.propublica.org/congress/v1/members/G000546.json","Sam Graves","R","MO","6","1325","94","7.09","53",""
"","","","","S001188","https://api.propublica.org/congress/v1/members/S001188.json","Marlin Stutzman","R","IN","3","1325","91","6.87","54","Running for Senate"
"","","","","G000377","https://api.propublica.org/congress/v1/members/G000377.json","Kay Granger","R","TX","12","1325","91","6.87","55",""
"","","","","C001091","https://api.propublica.org/congress/v1/members/C001091.json","Joaquín Castro","D","TX","20","1325","91","6.87","56",""
"","","","","M001179","https://api.propublica.org/congress/v1/members/M001179.json","Tom Marino","R","PA","10","1325","89","6.72","57",""
"","","","","W000812","https://api.propublica.org/congress/v1/members/W000812.json","Ann Wagner","R","MO","2","1325","89","6.72","58",""
"","","","","S001185","https://api.propublica.org/congress/v1/members/S001185.json","Terri Sewell","D","AL","7","1325","87","6.57","59",""
"","","","","B001269","https://api.propublica.org/congress/v1/members/B001269.json","Lou Barletta","R","PA","11","1325","85","6.42","60",""
"","","","","L000397","https://api.propublica.org/congress/v1/members/L000397.json","Zoe Lofgren","D","CA","19","1325","85","6.42","61",""
"","","","","S001165","https://api.propublica.org/congress/v1/members/S001165.json","Albio Sires","D","NJ","8","1325","84","6.34","62",""
"","","","","W000816","https://api.propublica.org/congress/v1/members/W000816.json","Roger Williams","R","TX","25","1325","84","6.34","63",""
"","","","","R000409","https://api.propublica.org/congress/v1/members/R000409.json","Dana Rohrabacher","R","CA","48","1325","84","6.34","64",""
"","","","","A000369","https://api.propublica.org/congress/v1/members/A000369.json","Mark Amodei","R","NV","2","1325","83","6.26","65",""
"","","","","C001051","https://api.propublica.org/congress/v1/members/C001051.json","John Carter","R","TX","31","1311","79","6.03","66",""
"","","","","D000610","https://api.propublica.org/congress/v1/members/D000610.json","Ted Deutch","D","FL","21","1325","79","5.96","67",""
"","","","","B001260","https://api.propublica.org/congress/v1/members/B001260.json","Vern Buchanan","R","FL","16","1325","79","5.96","68",""
"","","","","F000030","https://api.propublica.org/congress/v1/members/F000030.json","Sam Farr","D","CA","20","1325","79","5.96","69","Announced retirement on Nov. 12, 2015"
"","","","","R000588","https://api.propublica.org/congress/v1/members/R000588.json","Cedric Richmond","D","LA","2","1325","79","5.96","70",""
"","","","","R000580","https://api.propublica.org/congress/v1/members/R000580.json","Peter Roskam","R","IL","6","1325","79","5.96","71",""
"","","","","Y000033","https://api.propublica.org/congress/v1/members/Y000033.json","Don Young","R","AK","1","1311","77","5.87","72",""
"","","","","J000296","https://api.propublica.org/congress/v1/members/J000296.json","David W. Jolly","R","FL","13","1325","77","5.81","73","Lost general election."
"","","","","C000537","https://api.propublica.org/congress/v1/members/C000537.json","James E. Clyburn","D","SC","6","1325","77","5.81","74",""
"","","","","B000287","https://api.propublica.org/congress/v1/members/B000287.json","Xavier Becerra","D","CA","34","1325","76","5.74","75",""
"","","","","T000468","https://api.propublica.org/congress/v1/members/T000468.json","Dina Titus","D","NV","1","1325","74","5.58","76",""
"","","","","S001157","https://api.propublica.org/congress/v1/members/S001157.json","David Scott","D","GA","13","1325","73","5.51","77",""
"","","","","W000806","https://api.propublica.org/congress/v1/members/W000806.json","Daniel Webster","R","FL","10","1325","73","5.51","78","Elected to 11th District seat."
"","","","","M000087","https://api.propublica.org/congress/v1/members/M000087.json","Carolyn B. Maloney","D","NY","12","1320","72","5.45","79",""
"","","","","P000588","https://api.propublica.org/congress/v1/members/P000588.json","Steve Pearce","R","NM","2","1325","72","5.43","80",""
"","","","","C000714","https://api.propublica.org/congress/v1/members/C000714.json","John Conyers Jr.","D","MI","13","1325","72","5.43","81",""
"","","","","K000188","https://api.propublica.org/congress/v1/members/K000188.json","Ron Kind","D","WI","3","1325","72","5.43","82",""
"","","","","D000620","https://api.propublica.org/congress/v1/members/D000620.json","John Delaney","D","MD","6","1325","72","5.43","83",""
"","","","","B001227","https://api.propublica.org/congress/v1/members/B001227.json","Robert A. Brady","D","PA","1","1325","71","5.36","84",""
"","","","","D000096","https://api.propublica.org/congress/v1/members/D000096.json","Danny K. Davis","D","IL","7","1325","71","5.36","85",""
"","","","","R000583","https://api.propublica.org/congress/v1/members/R000583.json","Tom Rooney","R","FL","17","1325","70","5.28","86",""
"","","","","B001251","https://api.propublica.org/congress/v1/members/B001251.json","G. K. Butterfield","D","NC","1","1325","70","5.28","87",""
"","","","","D000614","https://api.propublica.org/congress/v1/members/D000614.json","Sean Duffy","R","WI","7","1325","70","5.28","88",""
"","","","","T000462","https://api.propublica.org/congress/v1/members/T000462.json","Pat Tiberi","R","OH","12","1325","69","5.21","89",""
"","","","","D000616","https://api.propublica.org/congress/v1/members/D000616.json","Scott DesJarlais","R","TN","4","1325","69","5.21","90",""
"","","","","B001273","https://api.propublica.org/congress/v1/members/B001273.json","Diane Black","R","TN","6","1325","69","5.21","91",""
"","","","","T000463","https://api.propublica.org/congress/v1/members/T000463.json","Michael R. Turner","R","OH","10","1325","67","5.06","92",""
"","","","","P000601","https://api.propublica.org/congress/v1/members/P000601.json","Steven Palazzo","R","MS","4","1325","67","5.06","93",""
"","","","","P000593","https://api.propublica.org/congress/v1/members/P000593.json","Ed Perlmutter","D","CO","7","1325","67","5.06","94",""
"","","","","B001250","https://api.propublica.org/congress/v1/members/B001250.json","Rob Bishop","R","UT","1","1325","66","4.98","95",""
"","","","","B001297","https://api.propublica.org/congress/v1/members/B001297.json","Ken Buck","R","CO","4","1325","65","4.91","96",""
"","","","","S001187","https://api.propublica.org/congress/v1/members/S001187.json","Steve Stivers","R","OH","15","1325","65","4.91","97",""
"","","","","K000009","https://api.propublica.org/congress/v1/members/K000009.json","Marcy Kaptur","D","OH","9","1325","65","4.91","98",""
"","","","","N000179","https://api.propublica.org/congress/v1/members/N000179.json","Grace F. Napolitano","D","CA","32","1325","65","4.91","99",""
"","","","","C001048","https://api.propublica.org/congress/v1/members/C001048.json","John Culberson","R","TX","7","1325","64","4.83","100",""
"","","","","H001055","https://api.propublica.org/congress/v1/members/H001055.json","Joe Heck","R","NV","3","1325","63","4.75","101","Running for Senate"
"","","","","K000379","https://api.propublica.org/congress/v1/members/K000379.json","Joseph P. Kennedy III","D","MA","4","1325","63","4.75","102",""
"","","","","R000577","https://api.propublica.org/congress/v1/members/R000577.json","Tim Ryan","D","OH","13","1325","63","4.75","103",""
"","","","","R000602","https://api.propublica.org/congress/v1/members/R000602.json","Kathleen Rice","D","NY","4","1325","62","4.68","104",""
"","","","","D000482","https://api.propublica.org/congress/v1/members/D000482.json","Mike Doyle","D","PA","14","1325","62","4.68","105",""
